"FERPA","Student ID","Last Name","First Name","Acad Plan","Acad Plan Descr","Term","Term Description","Career","Class Nbr","Subject","Catalog","Section","Class Description","Component","Class Type","Designation","Academic Level","Term Units","Class Units","Reason","Add Dt","Grade","Gender","Ethnic Grp","Facil ID","Mtg Start","Mtg End","Pat","Instructor ID","Instructor Name","Advisor ID","Advisor Name","Auto Enrol","Auto Enr 2","Comb Sect"
"N","000122804","Liam","Schmeler","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2773","CS","315","001","Data Structures","DIS","E","","Senior","4.000","4.00","Enrolled","2020-04-23","D+","Male","WHITE","STEV3036","08:30:00","09:45:00","MW","000028054","Ravikumar, Balasubramanian","003004643","Rivoire, Suzanne M","002","",""
"N","000122804","Liam","Schmeler","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2774","CS","315","002","Data Structures","LAB","N","","Senior","4.000","0.00","Enrolled","2020-04-23","","Male","WHITE","DARW0028","17:00:00","19:50:00","M","000028054","Ravikumar, Balasubramanian","003004643","Rivoire, Suzanne M","","",""
"N","000122804","Liam","Schmeler","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4139","CS","355","001","Database Mgt System Design","DIS","E","","Senior","4.000","4.00","Enrolled","2020-04-23","C+","Male","WHITE","CARS0010","15:00:00","16:50:00","MW","001299888","Kooshesh, Ali A","003004643","Rivoire, Suzanne M","","",""
"N","000136375","Alexys","Ledner","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2773","CS","315","001","Data Structures","DIS","E","","Sophomore","15.000","4.00","Enrolled","2020-04-25","C-","Male","WHITE","STEV3036","08:30:00","09:45:00","MW","000028054","Ravikumar, Balasubramanian","001299888","Kooshesh, Ali A","002","",""
"N","000136375","Alexys","Ledner","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2774","CS","315","002","Data Structures","LAB","N","","Sophomore","15.000","0.00","Enrolled","2020-04-25","","Male","WHITE","DARW0028","17:00:00","19:50:00","M","000028054","Ravikumar, Balasubramanian","001299888","Kooshesh, Ali A","","",""
"N","000136375","Alexys","Ledner","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4139","CS","355","001","Database Mgt System Design","DIS","E","","Sophomore","15.000","4.00","Enrolled","2020-04-25","A-","Male","WHITE","CARS0010","15:00:00","16:50:00","MW","001299888","Kooshesh, Ali A","001299888","Kooshesh, Ali A","","",""
"N","000136375","Alexys","Ledner","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3820","CS","370","001","Software Design & Development","DIS","E","","Sophomore","15.000","4.00","Enrolled","2020-04-25","A","Male","WHITE","DARW0107","16:00:00","17:50:00","TTH","000018239","Ledin  Jr,George","001299888","Kooshesh, Ali A","","",""
"N","000136375","Alexys","Ledner","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1136","HIST","252","002","History U.S. Since 1865","LEC","E","GED3","Sophomore","15.000","3.00","Enrolled","2020-04-25","B","Male","WHITE","STEV3008","10:45:00","12:00:00","MW","001294922","Ryan, Angela R","001299888","Kooshesh, Ali A","","",""
"N","000155574","Jakayla","Gerhold","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2180","ARTS","104","001","Studio Art Foundations","ACT","E","","Sophomore","8.000","4.00","Enrolled","2020-04-25","C-","Female","TWOMORE","ARTS0136","08:00:00","12:00:00","MW","003249849","Merino De Villasante,Carlos","001299888","Kooshesh, Ali A","","",""
"N","000155574","Jakayla","Gerhold","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2559","CS","115","003","Programming I","DIS","E","GEB3","Sophomore","8.000","4.00","Enrolled from Wait List","2020-05-19","F","Female","TWOMORE","DARW0102","09:20:00","10:35:00","TTH","001299888","Kooshesh, Ali A","001299888","Kooshesh, Ali A","004","",""
"N","000155574","Jakayla","Gerhold","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2560","CS","115","004","Programming I","LAB","N","GEB3","Sophomore","8.000","0.00","Enrolled from Wait List","2020-05-19","","Female","TWOMORE","DARW0025","12:00:00","14:50:00","W","002595754","Schettler, Matthew R","001299888","Kooshesh, Ali A","","",""
"N","000155574","Jakayla","Gerhold","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1029","ENSP","200","001","Global Environmental Issues","LEC","E","GED5","Sophomore","8.000","3.00","Enrolled from Wait List","2020-04-25","A","Female","TWOMORE","STEV1002","13:00:00","14:15:00","TTH","000010075","Peterson, Ervand M","001299888","Kooshesh, Ali A","","",""
"N","000155574","Jakayla","Gerhold","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2588","MATH","161","002","Differential & Integral Calc I","DIS","E","GEB4","Sophomore","8.000","4.00","Enrolled from Wait List","2020-04-25","F","Female","TWOMORE","IVES0078","15:00:00","16:50:00","TTH","000019578","Silverman, Jeff W","001299888","Kooshesh, Ali A","","",""
"N","000155574","Jakayla","Gerhold","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2659","MATH","161W","001","Calculus I Workshop","SUP","E","","Sophomore","8.000","1.00","Enrolled","2020-07-31","NC","Female","TWOMORE","CARS0030","17:00:00","17:50:00","MW","001693580","Kanaana, Izabela B","001299888","Kooshesh, Ali A","","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3967","ARTH","160A","003","Humanities Learning Community","LEC","E","GE01","Freshman","16.000","4.00","Enrolled","2020-06-05","A-","Female","HISPA","IVES0101","13:00:00","14:50:00","TH","002740119","Roberson, Jennifer A","003004643","Rivoire, Suzanne M","004","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3967","ARTH","160A","003","Humanities Learning Community","LEC","E","GE01","Freshman","16.000","4.00","Enrolled","2020-06-05","A-","Female","HISPA","IVES0101","13:00:00","14:50:00","TH","000019110","Shaw, Jennifer L","003004643","Rivoire, Suzanne M","004","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3968","ARTH","160A","004","Humanities Learning Community","DIS","N","GE01","Freshman","16.000","0.00","Enrolled","2020-06-05","","Female","HISPA","ARTS0102","13:00:00","14:50:00","T","000019110","Shaw, Jennifer L","003004643","Rivoire, Suzanne M","","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3968","ARTH","160A","004","Humanities Learning Community","DIS","N","GE01","Freshman","16.000","0.00","Enrolled","2020-06-05","","Female","HISPA","ARTS0102","13:00:00","14:50:00","T","002740119","Roberson, Jennifer A","003004643","Rivoire, Suzanne M","","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4037","ARTH","199","004","Student-Instructed Course","SUP","E","","Freshman","16.000","1.00","Enrolled","2020-09-03","CR","Female","HISPA","ARTS0108","12:00:00","12:50:00","T","002740119","Roberson, Jennifer A","003004643","Rivoire, Suzanne M","","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1805","ENGL","099T","001","Basic Composition-Tutoring","SUP","E","","Freshman","16.000","1.00","Enrolled","2020-06-05","CR","Female","HISPA","","00:00:00","00:00:00","ARR","000010530","Miller, Scott L","003004643","Rivoire, Suzanne M","","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1986","ENGL","100A","016","First-Year Composition","DIS","E","","Freshman","16.000","3.00","Enrolled","2020-06-05","B+","Female","HISPA","CARS0044D","09:20:00","10:35:00","TTH","003664419","Teixeira, Julie A","003004643","Rivoire, Suzanne M","","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2937","MATH","045","012","Intermediate Algebra","DIS","E","","Freshman","16.000","4.00","Enrolled","2020-06-05","A","Female","HISPA","DARW0037","14:00:00","15:50:00","MW","000012051","Wilson, Robert S","003004643","Rivoire, Suzanne M","","",""
"N","000168327","Brennon","Blanda","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1068","PSY","250","001","Introduction to Psychology","LEC","E","GED1","Freshman","16.000","3.00","Enrolled","2020-06-05","A","Female","HISPA","STEV1002","09:20:00","10:35:00","MW","000634184","Najm-Briscoe,Rima G","003004643","Rivoire, Suzanne M","","",""
"N","000220497","Richie","Crona","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4139","CS","355","001","Database Mgt System Design","DIS","E","","Senior","12.000","4.00","Enrolled","2020-04-24","A","Male","WHITE","CARS0010","15:00:00","16:50:00","MW","001299888","Kooshesh, Ali A","001299888","Kooshesh, Ali A","","",""
"N","000220497","Richie","Crona","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2609","CS","390","001","Computer Science Colloquium","LEC","E","","Senior","12.000","1.00","Enrolled from Wait List","2020-05-06","CR","Male","WHITE","SALZ2016","12:00:00","12:50:00","TH","000018239","Ledin  Jr,George","001299888","Kooshesh, Ali A","","",""
"N","000220497","Richie","Crona","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2911","CS","460","001","Programming Languages","DIS","E","","Senior","12.000","4.00","Enrolled from Wait List","2020-04-24","B-","Male","WHITE","DARW0029","08:00:00","09:50:00","TTH","000018239","Ledin  Jr,George","001299888","Kooshesh, Ali A","","",""
"N","000220497","Richie","Crona","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1359","PSY","303","002","The Person in Society","LEC","E","GED1","Senior","12.000","3.00","Enrolled from Wait List","2020-05-06","B","Male","WHITE","STEV3072","19:00:00","21:40:00","W","000000377","Wynia, Catherine O","001299888","Kooshesh, Ali A","","",""
"N","000225098","Kali","Padberg","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2510","CS","210","001","Introduction to Unix","LAB","E","","Senior","9.000","1.00","Enrolled","2020-04-23","C","Male","HISPA","DARW0025","09:00:00","11:50:00","TH","004425101","Bornmann, Christopher B","001299888","Kooshesh, Ali A","","",""
"N","000225098","Kali","Padberg","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2513","CS","215","001","Programming II","DIS","E","","Senior","9.000","4.00","Enrolled","2020-04-23","A-","Male","HISPA","DARW0029","14:45:00","16:00:00","MW","000002366","Watts, Marcia R","001299888","Kooshesh, Ali A","002","",""
"N","000225098","Kali","Padberg","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2514","CS","215","002","Programming II","LAB","N","","Senior","9.000","0.00","Enrolled","2020-04-23","","Male","HISPA","DARW0028","09:00:00","11:50:00","T","000002366","Watts, Marcia R","001299888","Kooshesh, Ali A","","",""
"N","000225098","Kali","Padberg","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4416","CS","242","002","Discrete Structures for CS","DIS","E","","Senior","9.000","4.00","Enrolled","2020-05-16","B","Male","HISPA","SALZ2001","12:00:00","13:50:00","MW","003004643","Rivoire, Suzanne M","001299888","Kooshesh, Ali A","","",""
"N","000225098","Kali","Padberg","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1407","POLS","315","001","Modern Political Ideologies","LEC","E","GED5","Senior","9.000","4.00","Withdrawn from Class","2020-05-16","W","Male","HISPA","STEV2075","17:00:00","20:40:00","T","000007813","Merrifield, Andrew S","001299888","Kooshesh, Ali A","","",""
"N","000243837","Lauretta","Carroll","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4352","CALS","403","001","Chicano/Latino Youth&Adolscnts","DIS","E","GEE","Junior","14.000","4.00","Enrolled from Wait List","2020-08-05","A-","Female","HISPA","IVES0024","12:00:00","13:50:00","MW","003951784","Morrison, Amanda M","003004643","Rivoire, Suzanne M","","",""
"N","000243837","Lauretta","Carroll","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4485","CS","115","007","Programming I","DIS","E","GEB3","Junior","14.000","4.00","Enrolled","2020-07-29","C","Female","HISPA","DARW0038","10:45:00","12:00:00","TTH","001299888","Kooshesh, Ali A","003004643","Rivoire, Suzanne M","008","",""
"N","000243837","Lauretta","Carroll","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4486","CS","115","008","Programming I","LAB","N","GEB3","Junior","14.000","0.00","Enrolled","2020-07-29","","Female","HISPA","DARW0028","17:00:00","19:50:00","T","001729837","Melcon, Noah K","003004643","Rivoire, Suzanne M","","",""
"N","000243837","Lauretta","Carroll","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2964","CS","115W","001","Programming I Workshop","SUP","E","","Junior","14.000","1.00","Enrolled","2020-09-03","CR","Female","HISPA","DARW0028","14:00:00","15:50:00","TH","001299888","Kooshesh, Ali A","003004643","Rivoire, Suzanne M","","",""
"N","000243837","Lauretta","Carroll","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3331","MATH","160","002","Precalculus Mathematics","DIS","E","GEB4","Junior","14.000","4.00","Enrolled from Wait List","2020-07-29","B","Female","HISPA","IVES0035","10:00:00","11:50:00","MW","004086828","Trockel, Anika E","003004643","Rivoire, Suzanne M","","",""
"N","000243837","Lauretta","Carroll","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3369","MATH","160W","001","Precalculus Workshop","SUP","E","","Junior","14.000","1.00","Enrolled","2020-09-03","CR","Female","HISPA","DARW0029","17:00:00","17:50:00","MW","001693580","Kanaana, Izabela B","003004643","Rivoire, Suzanne M","","",""
"N","000254697","Abraham","Moen","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4430","AMCS","210","002","Ethnic Groups in America","LEC","E","GED1","Sophomore","14.000","4.00","Enrolled","2020-07-29","C-","Male","BLACKPRF","ARTS0108","17:00:00","20:40:00","T","004401948","Daus-Magbual,Roderick R","001299888","Kooshesh, Ali A","","",""
"N","000254697","Abraham","Moen","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4314","CALS","374","001","Latino Literature","DIS","E","GEC2","Sophomore","14.000","4.00","Enrolled","2020-07-29","F","Male","BLACKPRF","COMMONS","12:00:00","13:50:00","MW","003279502","Wilkins, Nora B","001299888","Kooshesh, Ali A","","",""
"N","000254697","Abraham","Moen","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1385","HIST","251","002","History of U.S. to 1877","LEC","E","GED3","Sophomore","14.000","3.00","Enrolled","2020-04-25","F","Male","BLACKPRF","SALZ2021","08:00:00","09:15:00","MW","002221458","Markay, Jesse B","001299888","Kooshesh, Ali A","","",""
"N","000254697","Abraham","Moen","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2801","KIN","101","005","Physical Education Activities","ACT","E","","Sophomore","14.000","1.00","Enrolled","2020-05-17","CR","Male","BLACKPRF","POOL","11:00:00","11:50:00","MW","000005174","Bjugstad, Jeanne M","001299888","Kooshesh, Ali A","","",""
"N","000254697","Abraham","Moen","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3137","MATH","142E","001","Discrete Math for Engineering","DIS","E","","Sophomore","14.000","2.00","Enrolled","2020-05-31","F","Male","BLACKPRF","DARW0035","16:00:00","17:15:00","MW","000019578","Silverman, Jeff W","001299888","Kooshesh, Ali A","","",""
"N","000260821","Madelynn","Stracke","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2609","CS","390","001","Computer Science Colloquium","LEC","E","","Senior","16.000","1.00","Enrolled","2020-04-23","CR","Male","WHITE","SALZ2016","12:00:00","12:50:00","TH","000018239","Ledin  Jr,George","001299888","Kooshesh, Ali A","","",""
"N","000260821","Madelynn","Stracke","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2910","CS","450","001","Operating Systems","DIS","E","","Senior","16.000","4.00","Enrolled","2020-04-23","A","Male","WHITE","SALZ2024","08:00:00","09:50:00","MW","002225774","Lyle, Michael R","001299888","Kooshesh, Ali A","","",""
"N","000260821","Madelynn","Stracke","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2556","CS","454","001","Theory of Computation","DIS","E","","Senior","16.000","4.00","Enrolled","2020-04-23","C","Male","WHITE","IVES0078","10:00:00","11:50:00","MW","000028054","Ravikumar, Balasubramanian","001299888","Kooshesh, Ali A","","",""
"N","000260821","Madelynn","Stracke","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1118","GERN","300","001","The Journey of Adulthood","LEC","E","GEE","Senior","16.000","3.00","Enrolled","2020-04-23","A","Male","WHITE","STEV3008","19:00:00","21:40:00","T","000187530","Abbott-Enz,Pamela S","001299888","Kooshesh, Ali A","","",""
"N","000260821","Madelynn","Stracke","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1806","NAMS","346","001","Philosophic Sys&Sacred Mvmnts","LEC","E","GEC2","Senior","16.000","4.00","Enrolled","2020-04-23","A","Male","WHITE","IVES0045","14:00:00","17:40:00","M","002721100","Hall, Ashley C","001299888","Kooshesh, Ali A","","",""
"N","000282484","Bessie","Koch","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3924","ENGL","101","019","Expos Writing&Analytic Reading","DIS","E","GEA2","Freshman","13.000","4.00","Enrolled","2020-08-20","A-","Male","WHITE","STEV3028","17:00:00","20:40:00","T","001543183","Friscia, Judith M","001299888","Kooshesh, Ali A","","",""
"N","000282484","Bessie","Koch","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","1068","PSY","250","001","Introduction to Psychology","LEC","E","GED1","Freshman","13.000","3.00","Enrolled","2020-06-17","A","Male","WHITE","STEV1002","09:20:00","10:35:00","MW","000634184","Najm-Briscoe,Rima G","001299888","Kooshesh, Ali A","","",""
"N","000282484","Bessie","Koch","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4058","SCI","120A","001","A Watershed Year","LEC","E","GE03","Freshman","13.000","6.00","Enrolled","2020-06-17","B+","Male","WHITE","DARW0102","13:00:00","13:50:00","W","000005291","Rank, Nathan E","001299888","Kooshesh, Ali A","002","003",""
"N","000282484","Bessie","Koch","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4059","SCI","120A","002","A Watershed Year","LAB","N","GE03","Freshman","13.000","0.00","Enrolled","2020-06-17","","Male","WHITE","DARW0004","14:00:00","16:40:00","F","002723310","Qualls, Jeremy S","001299888","Kooshesh, Ali A","","",""
"N","000282484","Bessie","Koch","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4060","SCI","120A","003","A Watershed Year","DIS","N","GE03","Freshman","13.000","0.00","Enrolled","2020-06-17","","Male","WHITE","DARW0030","14:00:00","15:50:00","MW","002723310","Qualls, Jeremy S","001299888","Kooshesh, Ali A","","",""
"N","000286065","Furman","Skiles","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3462","CS","115","005","Programming I","DIS","E","GEB3","Sophomore","11.000","4.00","Enrolled from Wait List","2020-04-26","D+","Male","WHITE","DARW0102","09:20:00","10:35:00","TTH","001299888","Kooshesh, Ali A","001299888","Kooshesh, Ali A","006","",""
"N","000286065","Furman","Skiles","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","3463","CS","115","006","Programming I","LAB","N","GEB3","Sophomore","11.000","0.00","Enrolled from Wait List","2020-04-26","","Male","WHITE","DARW0025","16:00:00","18:50:00","W","002595754","Schettler, Matthew R","001299888","Kooshesh, Ali A","","",""
"N","000286065","Furman","Skiles","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2964","CS","115W","001","Programming I Workshop","SUP","E","","Sophomore","11.000","1.00","Enrolled","2020-08-20","CR","Male","WHITE","DARW0028","14:00:00","15:50:00","TH","001299888","Kooshesh, Ali A","001299888","Kooshesh, Ali A","","",""
"N","000286065","Furman","Skiles","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","4411","HIST","242","001","Hist of AmericasSinceIndep","LEC","E","GED3","Sophomore","11.000","3.00","Enrolled","2020-05-03","F","Male","WHITE","STEV3008","19:00:00","21:40:00","W","004394161","Montanez-Sanabria,Elizabeth D","001299888","Kooshesh, Ali A","","",""
"N","000286065","Furman","Skiles","CS-BS","Computer Science (BS)","2137","Fall 2013","UGRD","2589","MATH","161","003","Differential & Integral Calc I","DIS","E","GEB4","Sophomore","11.000","4.00","Enrolled from Wait List","2020-04-26","C","Male","WHITE","DARW0031","10:00:00","11:50:00","MW","004086841","Shott, Martha J","001299888","Kooshesh, Ali A","","",""
